country,league,match_season,team,points,goals_difference
Italy,Italy Serie A,2015/2016,Juventus,91,55
Italy,Italy Serie A,2015/2016,Napoli,82,48
Italy,Italy Serie A,2015/2016,Roma,80,42
Italy,Italy Serie A,2015/2016,Inter,67,12
Italy,Italy Serie A,2015/2016,Fiorentina,64,18
Italy,Italy Serie A,2015/2016,Sassuolo,61,9
Italy,Italy Serie A,2015/2016,Milan,57,6
Italy,Italy Serie A,2015/2016,Lazio,54,0
Italy,Italy Serie A,2015/2016,Chievo Verona,50,-2
Italy,Italy Serie A,2015/2016,Genoa,46,-3
Italy,Italy Serie A,2015/2016,Empoli,46,-9
Italy,Italy Serie A,2015/2016,Torino,45,-3
Italy,Italy Serie A,2015/2016,Atalanta,45,-6
Italy,Italy Serie A,2015/2016,Bologna,42,-12
Italy,Italy Serie A,2015/2016,Sampdoria,40,-13
Italy,Italy Serie A,2015/2016,Udinese,39,-25
Italy,Italy Serie A,2015/2016,Palermo,39,-27
Italy,Italy Serie A,2015/2016,Carpi,38,-20
Italy,Italy Serie A,2015/2016,Frosinone,31,-41
Italy,Italy Serie A,2015/2016,Hellas Verona,28,-29
Italy,Italy Serie A,2014/2015,Juventus,87,48
Italy,Italy Serie A,2014/2015,Roma,70,23
Italy,Italy Serie A,2014/2015,Lazio,66,31
Italy,Italy Serie A,2014/2015,Fiorentina,64,15
Italy,Italy Serie A,2014/2015,Napoli,63,18
Italy,Italy Serie A,2014/2015,Genoa,59,15
Italy,Italy Serie A,2014/2015,Sampdoria,56,6
Italy,Italy Serie A,2014/2015,Inter,55,11
Italy,Italy Serie A,2014/2015,Torino,54,3
Italy,Italy Serie A,2014/2015,Milan,52,6
Italy,Italy Serie A,2014/2015,Palermo,49,-2
Italy,Italy Serie A,2014/2015,Sassuolo,49,-8
Italy,Italy Serie A,2014/2015,Hellas Verona,46,-16
Italy,Italy Serie A,2014/2015,Chievo Verona,43,-13
Italy,Italy Serie A,2014/2015,Empoli,42,-6
Italy,Italy Serie A,2014/2015,Udinese,41,-13
Italy,Italy Serie A,2014/2015,Atalanta,37,-19
Italy,Italy Serie A,2014/2015,Cagliari,34,-20
Italy,Italy Serie A,2014/2015,Parma,26,-42
Italy,Italy Serie A,2014/2015,Cesena,24,-37
Italy,Italy Serie A,2013/2014,Juventus,102,57
Italy,Italy Serie A,2013/2014,Roma,85,47
Italy,Italy Serie A,2013/2014,Napoli,78,38
Italy,Italy Serie A,2013/2014,Fiorentina,65,21
Italy,Italy Serie A,2013/2014,Inter,60,23
Italy,Italy Serie A,2013/2014,Parma,58,12
Italy,Italy Serie A,2013/2014,Torino,57,10
Italy,Italy Serie A,2013/2014,Milan,57,8
Italy,Italy Serie A,2013/2014,Lazio,56,0
Italy,Italy Serie A,2013/2014,Hellas Verona,54,-6
Italy,Italy Serie A,2013/2014,Atalanta,50,-8
Italy,Italy Serie A,2013/2014,Sampdoria,45,-14
Italy,Italy Serie A,2013/2014,Genoa,44,-9
Italy,Italy Serie A,2013/2014,Udinese,44,-11
Italy,Italy Serie A,2013/2014,Cagliari,39,-19
Italy,Italy Serie A,2013/2014,Chievo Verona,36,-20
Italy,Italy Serie A,2013/2014,Sassuolo,34,-29
Italy,Italy Serie A,2013/2014,Catania,32,-32
Italy,Italy Serie A,2013/2014,Bologna,29,-30
Italy,Italy Serie A,2013/2014,Livorno,25,-38
Italy,Italy Serie A,2012/2013,Juventus,87,47
Italy,Italy Serie A,2012/2013,Napoli,78,37
Italy,Italy Serie A,2012/2013,Milan,72,28
Italy,Italy Serie A,2012/2013,Fiorentina,70,28
Italy,Italy Serie A,2012/2013,Udinese,66,14
Italy,Italy Serie A,2012/2013,Roma,62,15
Italy,Italy Serie A,2012/2013,Lazio,61,9
Italy,Italy Serie A,2012/2013,Catania,56,4
Italy,Italy Serie A,2012/2013,Inter,54,-2
Italy,Italy Serie A,2012/2013,Parma,49,-1
Italy,Italy Serie A,2012/2013,Cagliari,47,-12
Italy,Italy Serie A,2012/2013,Chievo Verona,45,-15
Italy,Italy Serie A,2012/2013,Bologna,44,-6
Italy,Italy Serie A,2012/2013,Sampdoria,43,-8
Italy,Italy Serie A,2012/2013,Atalanta,42,-17
Italy,Italy Serie A,2012/2013,Torino,40,-9
Italy,Italy Serie A,2012/2013,Genoa,38,-14
Italy,Italy Serie A,2012/2013,Siena,36,-21
Italy,Italy Serie A,2012/2013,Palermo,32,-20
Italy,Italy Serie A,2012/2013,Pescara,22,-57
Italy,Italy Serie A,2011/2012,Juventus,79,45
Italy,Italy Serie A,2011/2012,Milan,77,39
Italy,Italy Serie A,2011/2012,Udinese,63,18
Italy,Italy Serie A,2011/2012,Napoli,60,23
Italy,Italy Serie A,2011/2012,Lazio,59,10
Italy,Italy Serie A,2011/2012,Inter,57,3
Italy,Italy Serie A,2011/2012,Roma,56,7
Italy,Italy Serie A,2011/2012,Parma,54,1
Italy,Italy Serie A,2011/2012,Atalanta,50,0
Italy,Italy Serie A,2011/2012,Chievo Verona,46,-11
Italy,Italy Serie A,2011/2012,Bologna,44,-5
Italy,Italy Serie A,2011/2012,Palermo,43,-10
Italy,Italy Serie A,2011/2012,Catania,42,-6
Italy,Italy Serie A,2011/2012,Fiorentina,42,-6
Italy,Italy Serie A,2011/2012,Cagliari,40,-8
Italy,Italy Serie A,2011/2012,Genoa,40,-19
Italy,Italy Serie A,2011/2012,Siena,38,-5
Italy,Italy Serie A,2011/2012,Lecce,34,-14
Italy,Italy Serie A,2011/2012,Novara,29,-30
Italy,Italy Serie A,2011/2012,Cesena,20,-32
Italy,Italy Serie A,2010/2011,Milan,82,41
Italy,Italy Serie A,2010/2011,Inter,76,27
Italy,Italy Serie A,2010/2011,Napoli,70,20
Italy,Italy Serie A,2010/2011,Udinese,66,22
Italy,Italy Serie A,2010/2011,Lazio,66,16
Italy,Italy Serie A,2010/2011,Roma,63,7
Italy,Italy Serie A,2010/2011,Juventus,58,10
Italy,Italy Serie A,2010/2011,Palermo,56,-5
Italy,Italy Serie A,2010/2011,Fiorentina,51,5
Italy,Italy Serie A,2010/2011,Genoa,51,-2
Italy,Italy Serie A,2010/2011,Chievo Verona,46,-2
Italy,Italy Serie A,2010/2011,Parma,46,-8
Italy,Italy Serie A,2010/2011,Catania,46,-12
Italy,Italy Serie A,2010/2011,Cagliari,45,-7
Italy,Italy Serie A,2010/2011,Bologna,45,-17
Italy,Italy Serie A,2010/2011,Cesena,43,-12
Italy,Italy Serie A,2010/2011,Lecce,41,-20
Italy,Italy Serie A,2010/2011,Sampdoria,36,-16
Italy,Italy Serie A,2010/2011,Brescia,32,-18
Italy,Italy Serie A,2010/2011,Bari,24,-29
Italy,Italy Serie A,2009/2010,Inter,82,41
Italy,Italy Serie A,2009/2010,Roma,80,27
Italy,Italy Serie A,2009/2010,Milan,70,21
Italy,Italy Serie A,2009/2010,Sampdoria,67,8
Italy,Italy Serie A,2009/2010,Palermo,65,12
Italy,Italy Serie A,2009/2010,Napoli,59,7
Italy,Italy Serie A,2009/2010,Juventus,55,-1
Italy,Italy Serie A,2009/2010,Parma,52,-5
Italy,Italy Serie A,2009/2010,Genoa,51,-4
Italy,Italy Serie A,2009/2010,Bari,50,0
Italy,Italy Serie A,2009/2010,Fiorentina,47,1
Italy,Italy Serie A,2009/2010,Lazio,46,-4
Italy,Italy Serie A,2009/2010,Catania,45,-1
Italy,Italy Serie A,2009/2010,Cagliari,44,-2
Italy,Italy Serie A,2009/2010,Chievo Verona,44,-5
Italy,Italy Serie A,2009/2010,Udinese,44,-5
Italy,Italy Serie A,2009/2010,Bologna,42,-13
Italy,Italy Serie A,2009/2010,Atalanta,35,-16
Italy,Italy Serie A,2009/2010,Siena,31,-27
Italy,Italy Serie A,2009/2010,Livorno,29,-34
Italy,Italy Serie A,2008/2009,Inter,84,38
Italy,Italy Serie A,2008/2009,Milan,74,35
Italy,Italy Serie A,2008/2009,Juventus,74,32
Italy,Italy Serie A,2008/2009,Genoa,68,17
Italy,Italy Serie A,2008/2009,Fiorentina,68,15
Italy,Italy Serie A,2008/2009,Roma,63,3
Italy,Italy Serie A,2008/2009,Udinese,58,11
Italy,Italy Serie A,2008/2009,Palermo,57,7
Italy,Italy Serie A,2008/2009,Cagliari,53,-1
Italy,Italy Serie A,2008/2009,Lazio,50,-9
Italy,Italy Serie A,2008/2009,Atalanta,47,-3
Italy,Italy Serie A,2008/2009,Napoli,46,-2
Italy,Italy Serie A,2008/2009,Sampdoria,46,-3
Italy,Italy Serie A,2008/2009,Siena,44,-11
Italy,Italy Serie A,2008/2009,Catania,43,-10
Italy,Italy Serie A,2008/2009,Chievo Verona,38,-14
Italy,Italy Serie A,2008/2009,Bologna,37,-19
Italy,Italy Serie A,2008/2009,Torino,34,-24
Italy,Italy Serie A,2008/2009,Reggio Calabria,31,-32
Italy,Italy Serie A,2008/2009,Lecce,30,-30
